show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,Data_Quality_Notes
s31,Movie,Ankahikahaniya,"Ashwinyiyertiwari,Abhishekchaubey,Saketchaudhary","Abhishekbanerjee,Rinkurajguru,Delzadhiwale,Kunalkapoor,Zoyahussain,Nikhildwivedi,Palomighosh",,17-Sep-21,2021,TV-14,111min,"Dramas,Independentmovies,Internationalmovies","Asbigcitylifebuzzesaroundthem,lonelysoulsdiscoversurprisingsourcesofconnectionandcompanionshipinthreetalesoflove,lossandlonging.","Text cleaned, spaces removed, duplicates handled"
s32,TVShow,Chicagopartyaunt,,"Laurenash,Roryo'Malley,Rupaulcharles,Jilltalley,Ikebarinholtz,Jonbarinholtz,Matthewcraig,Bobodenkirk,Mikehagerty,Katierich,Chriswitaske",,17-Sep-21,2021,TV-MA,1Season,Tvcomedies,ChicagoPartyAuntDianeisanidolizedtroublemakerwithatalentforavoidingadulthood‚Äîandasoftspotforhersoul-searchingnephew.,"Text cleaned, spaces removed, duplicates handled"
s33,TVShow,Sexeducation,,"Asabutterfield,Gilliananderson,Ncutigatwa,Emmamackey,Connorswindells,Kedarwilliams-Stirling,Alistairpetrie",Unitedkingdom,17-Sep-21,2020,TV-MA,3Seasons,"Britishtvshows,Internationaltvshows,Tvcomedies","InsecureOtishasalltheanswerswhenitcomestosexadvice,thankstohistherapistmom.SorebelMaeveproposesaschoolsex-therapyclinic.","Text cleaned, spaces removed, duplicates handled"
s34,TVShow,Squidgame,,"Leejung-Jae,Parkhae-Soo,Wiha-Jun,Ohyoung-Soo,Jungho-Yeon,Heosung-Tae,Kimjoo-Ryoung,Tripathianupam,Youseong-Joo,Leeyou-Mi",,17-Sep-21,2021,TV-MA,1Season,"Internationaltvshows,Tvdramas,Tvthrillers","Hundredsofcash-strappedplayersacceptastrangeinvitationtocompeteinchildren'sgames.Inside,atemptingprizeawaits‚Äîwithdeadlyhighstakes.","Text cleaned, spaces removed, duplicates handled"
s35,TVShow,Tayoandlittlewizards,,"Damilee,Jasonlee,Bommiecatherinehan,Jenniferwaescher,Nancykim",,17-Sep-21,2020,TV-Y7,1Season,Kids'Tv,Tayospeedsintoanadventurewhenhisfriendsgetkidnappedbyevilmagiciansinvadingtheircityinsearchofamagicalgemstone.,"Text cleaned, spaces removed, duplicates handled"
s36,Movie,Thefatherwhomovesmountains,Danielsandu,"Adriantitieni,Elenapurea,Judithstate,ValeriuandriuËõƒÉ,Tudorsmoleanu,Virgilaioanei,Radubotar,Petronelagrigorescu,Bogdannechifor,Cristianbota",,17-Sep-21,2021,TV-MA,110min,"Dramas,Internationalmovies,Thrillers","Whenhissongoesmissingduringasnowyhikeinthemountains,aretiredintelligenceofficerwillstopatnothing‚Äîandriskeverything‚Äîtofindhim.","Text cleaned, spaces removed, duplicates handled"
s37,Movie,Thestronghold,C„©Dricjimenez,"Gilleslellouche,Karimleklou,Fran„ßOiscivil,Ad„®Leexarchopoulos,Kenzafortas,Cyrillecomte,Micha„´Labiteboul,Idirazougli,Vincentdarmuzey,Jean-Yvesberteloot",,17-Sep-21,2021,TV-MA,105min,"Action&Adventure,Dramas,Internationalmovies","Tiredofthesmall-timegrind,threeMarseillecopsgetachancetobustamajordrugnetwork.Butlinesblurwhenakeyinformantmakesabigask.","Text cleaned, spaces removed, duplicates handled"
s38,TVShow,Angrybirds,,"Anttip„§√§Kk„∂Nen,Helj„§Heikkinen,Lynneguaglione,Pasiruohonen,Raunoahonen",Finland,16-Sep-21,2018,TV-Y7,1Season,"Kids'Tv,Tvcomedies","BirdsRed,Chuckandtheirfeatheredfriendshavelotsofadventureswhileguardingeggsintheirnestthatpeskypigskeeptryingtosteal.","Text cleaned, spaces removed, duplicates handled"
s39,Movie,Birthofthedragon,Georgenolfi,"Billymagnussen,Ronyuan,Qujingjing,Terrychen,Vannesswu,Jinxing,Philipng,Xiayu,Yuxia","China,Canada,Unitedstates",16-Sep-21,2017,PG-13,96min,"Action&Adventure,Dramas","AyoungBruceLeeangerskungfutraditionalistsbyteachingoutsiders,leadingtoashowdownwithaShaolinmasterinthisfilmbasedonrealevents.","Text cleaned, spaces removed, duplicates handled"
s40,TVShow,Chhotabheem,,"Vatsaldubey,Julietejwani,Rupabhimani,Jignabhardwaj,Rajeshkava,Mousam,Swapnil",India,16-Sep-21,2021,TV-Y7,3Seasons,Kids'Tv,"Abrave,energeticlittleboywithsuperhumanpowersleadshisfriendsonexcitingadventurestoguardtheirfellowDholakpurvillagersfromevil.","Text cleaned, spaces removed, duplicates handled"
s41,TVShow,He-Manandthemastersoftheuniverse,,"Yurilowenthal,Kimberlybrooks,Antonydelrio,Trevordevall,Bendiskin,Greygriffin,Davidkaye,Tomkenny,Judyalicelee,Rogercraigsmith,Fredtatasciore",Unitedstates,16-Sep-21,2021,TV-Y7,1Season,"Kids'Tv,Tvsci-Fi&Fantasy",MightyteenAdamandhisheroicsquadofmisfitsdiscoverthelegendarypowerofGrayskull‚ÄîandtheirdestinytodefendEterniafromsinisterSkeletor.,"Text cleaned, spaces removed, duplicates handled"
s42,Movie,Jaws,Stevenspielberg,"Royscheider,Robertshaw,Richarddreyfuss,Lorrainegary,Murrayhamilton,Carlgottlieb,Jeffreykramer,Susanbacklinie,Jonathanfilley,Tedgrossman",Unitedstates,16-Sep-21,1975,PG,124min,"Action&Adventure,Classicmovies,Dramas","WhenaninsatiablegreatwhitesharkterrorizesAmityIsland,apolicechief,anoceanographerandagrizzledsharkhunterseektodestroythebeast.","Text cleaned, spaces removed, duplicates handled"
s43,Movie,Jaws2,Jeannotszwarc,"Royscheider,Lorrainegary,Murrayhamilton,Josephmascolo,Jeffreykramer,Collinwilcoxpaxton,Anndusenberry,Markgruner,Barrycoe,Susanfrench",Unitedstates,16-Sep-21,1978,PG,116min,"Dramas,Horrormovies,Thrillers","Fouryearsafterthelastdeadlysharkattacks,policechiefMartinBrodyfightstoprotectAmityIslandfromanotherkillergreatwhite.","Text cleaned, spaces removed, duplicates handled"
s44,Movie,Jaws3,Joealves,"Dennisquaid,Bessarmstrong,Simonmaccorkindale,Louisgossettjr.,Johnputch,Leathompson,P.H.Moriarty,Danblasko,Lizmorris,Lisamaurer",Unitedstates,16-Sep-21,1983,PG,98min,"Action&Adventure,Horrormovies,Thrillers","Afterthestaffofamarinethemeparktrytocaptureayounggreatwhiteshark,theydiscoveritsmotherhasinvadedtheenclosureandisoutforblood.","Text cleaned, spaces removed, duplicates handled"
s45,Movie,Jaws:Therevenge,Josephsargent,"Lorrainegary,Lanceguest,Mariovanpeebles,Karenyoung,Michaelcaine,Judithbarsi,Mitchellanderson,Lynnwhitfield",Unitedstates,16-Sep-21,1987,PG-13,91min,"Action&Adventure,Horrormovies,Thrillers","Afteranotherdeadlysharkattack,EllenBrodyhashadenoughofAmityIslandandmovestotheCaribbean‚Äìbutagreatwhitesharkfollowsherthere.","Text cleaned, spaces removed, duplicates handled"
s46,Movie,Myheroeswerecowboys,Tylergreco,,,16-Sep-21,2021,PG,23min,Documentaries,"RobinWiltshire'spainfulchildhoodwasrescuedbyWesterns.Nowhelivesonthefrontierofhisdreams,trainingthehorseshelovesforthebigscreen.","Text cleaned, spaces removed, duplicates handled"
s47,Movie,Safehouse,Danielespinosa,"Denzelwashington,Ryanreynolds,Verafarmiga,Brendangleeson,Samshepard,Rub„©Nblades,Noraarnezeder,Robertpatrick,Liamcunningham,Joelkinnaman","Southafrica,Unitedstates,Japan",16-Sep-21,2012,R,115min,Action&Adventure,YoungCIAoperativeMattWestonmustgetadangerouscriminaloutofanagencysafehousethat'scomeunderattackandgethimtoasecurerlocation.,"Text cleaned, spaces removed, duplicates handled"
s48,TVShow,Thesmartmoneywoman,Bunmiajakaiye,"Osasighodaro,Inidima-Okojie,Kemilalaakindoju,Tonitones,Ebenezereno,Esookolochadike,Patrickdiabuah,Karibifubara,Temisanemmanuel,Timiniegbuson",,16-Sep-21,2020,TV-MA,1Season,"Internationaltvshows,Romantictvshows,Tvcomedies","Fiveglamorousmillennialsstriveforsuccessastheyjugglecareers,finances,loveandfriendships.BasedonAreseUgwu's2016best-sellingnovel.","Text cleaned, spaces removed, duplicates handled"
s49,Movie,Trainingday,Antoinefuqua,"Denzelwashington,Ethanhawke,Scottglenn,Tomberenger,Harrisyulin,Raymondj.Barry,Cliffcurtis,Dr.Dre,Snoopdogg,Macygray,Evamendes",Unitedstates,16-Sep-21,2001,R,122min,"Dramas,Thrillers",ArookiecopwithonedaytoprovehimselftoaveteranLAPDnarcoticsofficerreceivesacrashcourseinhismentor'squestionablebrandofjustice.,"Text cleaned, spaces removed, duplicates handled"
s50,TVShow,Castleandcastle,,"Richardmofe-Damijo,Dakoreakande,Bimbomanuel,Blossomchukwujekwu,Deyemiokanlawon,Etimeffiong,Denolagrey,Dukeakintola,Ekuedewor,Adelaoye,Aneeicha,Kevinushi,Judechukwuka,Amandaafolabi",Nigeria,15-Sep-21,2021,TV-MA,2Seasons,"Internationaltvshows,Tvdramas","Apairofhigh-powered,successfullawyersfindthemselvesdefendingoppositeinterestsofthejusticesystem,causingastrainontheirhappymarriage.","Text cleaned, spaces removed, duplicates handled"
s51,TVShow,Dharmakshetra,,"Kashmirairani,Chandananand,Dineshmehta,Ankitarora,Pushkargoggiaa,Anjalirana,Aaryadharmchandkumar,Amitbehl,Maleekaghai",India,15-Sep-21,2014,TV-PG,1Season,"Internationaltvshows,Tvdramas,Tvsci-Fi&Fantasy","AftertheancientGreatWar,thegodChitraguptaoverseesatrialtodeterminewhowerethebattle'strueheroesandvillains.","Text cleaned, spaces removed, duplicates handled"
s52,Movie,Inuyashathemovie2:Thecastlebeyondthelookingglass,Toshiyashinohara,"Kappeiyamaguchi,Satsukiyukino,Miekoharada,Kojitsujitani,Houkokuwashima,Kumikowatanabe,Norikohidaka,Kenichiogata,Toshiyukimorikawa,Izumiogami",Japan,15-Sep-21,2002,TV-14,99min,"Action&Adventure,Animefeatures,Internationalmovies","Withtheirbiggestfoeseeminglydefeated,InuYashaandhisfriendsreturntoeverydaylife.Butthepeaceissoonshatteredbyanemergingnewenemy.","Text cleaned, spaces removed, duplicates handled"
s53,Movie,Inuyashathemovie3:Swordsofanhonorableruler,Toshiyashinohara,"Kappeiyamaguchi,Satsukiyukino,Kojitsujitani,Houkokuwashima,Kumikowatanabe,Kennarita,Akiootsuka,Kikukoinoue",Japan,15-Sep-21,2003,TV-14,99min,"Action&Adventure,Animefeatures,Internationalmovies",TheGreatDogDemonbeaqueathedoneoftheThreeSwordsoftheFangtoeachofhistwosons.Nowtheevilpowerofthethirdswordhasbeenawakened.,"Text cleaned, spaces removed, duplicates handled"
s54,Movie,Inuyashathemovie4:Fireonthemysticisland,Toshiyashinohara,"Kappeiyamaguchi,Satsukiyukino,Kojitsujitani,Houkokuwashima,Kumikowatanabe,Norikohidaka,Kennarita,Cho,Mamikonoto,Nobutoshicanna",Japan,15-Sep-21,2004,TV-PG,88min,"Action&Adventure,Animefeatures,Internationalmovies","Ai,ayounghalf-demonwhohasescapedfromHoraiIslandtotrytohelpherpeople,returnswithpotentialsaviorsInuYasha,SesshomaruandKikyo.","Text cleaned, spaces removed, duplicates handled"
s55,Movie,Inuyashathemovie:Affectionstouchingacrosstime,Toshiyashinohara,"Kappeiyamaguchi,Satsukiyukino,Kojitsujitani,Houkokuwashima,Kumikowatanabe,Kenichiogata,Norikohidaka,Hisakokyoda,Kennarita,Tomokazuseki",Japan,15-Sep-21,2001,TV-PG,100min,"Action&Adventure,Animefeatures,Internationalmovies","Apowerfuldemonhasbeensealedawayfor200years.Butwhenthedemon'ssonisawakened,thefateoftheworldisinjeopardy.","Text cleaned, spaces removed, duplicates handled"
s56,TVShow,Nailedit,,"Nicolebyer,Jacquestorres",Unitedstates,15-Sep-21,2021,TV-PG,6Seasons,Realitytv,"Homebakerswithaterribletrackrecordtakeacrackatre-creatingediblemasterpiecesfora$10,000prize.It'spartrealitycontest,parthotmess.","Text cleaned, spaces removed, duplicates handled"
s57,Movie,Narutoshippudenthemovie:Bloodprison,Masahikomurata,"Junkotakeuchi,Chienakamura,Rikiyakoyama,Kazuhikoinoue,Masakiterasoma,Miesonozaki,Yuichinakamura,Kengokawanishi,Koseihirota,Masakokatsuki",Japan,15-Sep-21,2011,TV-14,102min,"Action&Adventure,Animefeatures,Internationalmovies","MistakenlyaccusedofanattackontheFourthRaikage,ninjaNarutoisimprisonedintheimpenetrableHozukiCastleandhispowersaresealed.","Text cleaned, spaces removed, duplicates handled"
s58,Movie,Narutoshipp„ªDenthemovie:Bonds,Hajimekamegaki,"Junkotakeuchi,Chienakamura,Noriakisugiyama,Unshoishizuka,Motokokumai,Kazuhikoinoue,Rikiyakoyama,Showtaromorikubo,Nanamizuki,Satoshihino,Shinjikawada",Japan,15-Sep-21,2008,TV-PG,93min,"Action&Adventure,Animefeatures,Internationalmovies","WhenstrangeninjasambushthevillageofKonohagakure,it'suptoadolescentninjaNarutoandhislong-missingpal,Sasuke,tosavetheplanet.","Text cleaned, spaces removed, duplicates handled"
s59,Movie,Narutoshipp„ªDenthemovie:Thewilloffire,Masahikomurata,"Junkotakeuchi,Chienakamura,Kazuhikoinoue,Satoshihino,Showtaromorikubo,Kentaroito,Ryokayuzuki,Kohsuketoriumi,Nanamizuki,Shinjikawada,Yoichimasukawa,Koichitochika,Yukaritamura",Japan,15-Sep-21,2009,TV-PG,96min,"Action&Adventure,Animefeatures,Internationalmovies","Whenfouroutoffiveninjavillagesaredestroyed,theleaderoftheonesparedtriestofindthetrueculpritandprotecthisland.","Text cleaned, spaces removed, duplicates handled"
